date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-04-08,27.2,68,1009.3,13.7,0.0,52.28333333333333,19.370833333333334,345.2083333333333,18.883333333333333,6.470833333333334,100.08333333333331,72.66666666666667
2024-04-09,27.9,57,1009.3,17.5,0.0,33.4625,13.904166666666669,312.8333333333333,17.166666666666668,5.729166666666667,84.04166666666667,61.66666666666666
2024-04-10,26.6,76,1008.8,16.1,0.0,40.62916666666667,17.083333333333332,265.75,14.920833333333334,6.129166666666666,61.208333333333336,57.583333333333336
2024-04-11,26.3,80,1009.1,12.1,0.0,45.775,17.779166666666665,289.2083333333333,17.462500000000002,6.604166666666667,79.33333333333333,65.5
2024-04-12,27.0,77,1008.2,17.0,0.0,35.5375,13.379166666666668,260.7916666666667,15.095833333333331,6.375,69.875,58.833333333333336
2024-04-13,27.9,78,1008.2,14.6,0.0,45.93333333333334,14.408333333333331,225.41666666666663,13.416666666666666,5.425,61.04166666666666,50.75
2024-04-14,26.6,80,1011.2,7.5,3.4,111.98333333333332,25.629166666666663,291.7083333333333,21.4125,14.4875,51.833333333333336,62.0
2024-04-15,26.4,76,1012.7,11.0,0.0,73.21249999999999,22.35,314.2083333333333,19.058333333333334,8.466666666666667,57.708333333333336,86.58333333333333
2024-04-16,28.1,73,1011.7,12.6,0.0,72.05833333333334,21.683333333333334,288.125,17.058333333333334,14.820833333333333,71.125,61.125
2024-04-17,28.8,57,1009.4,10.5,0.0,62.84166666666667,24.59583333333333,349.0416666666667,20.366666666666667,14.204166666666667,83.125,81.125
2024-04-18,27.2,78,1008.2,18.3,0.5,86.11666666666667,22.791666666666668,189.9583333333333,9.6625,5.3125,63.91666666666666,69.66666666666667
2024-04-19,26.7,71,1006.8,26.2,0.0,57.3875,25.616666666666664,206.7083333333333,6.3125,3.920833333333333,113.20833333333331,80.75
2024-04-20,27.7,66,1007.1,21.3,0.0,48.67916666666667,21.691666666666663,231.41666666666663,8.245833333333334,4.575,111.20833333333331,77.20833333333333
